id,s/c,question,e1_gold,e1_predict,e2_gold,e2_predict,type_sc,r1_gold,r1_predict,r2_gold,r2_predict,constraint
35,C,Which city located on Mediterranean Sea is also the stadium of Panionios G.S.S. season ?,2014-5_panionios_g.s.s._season,2014-5_panionios_g.s.s._season,mediterranean_sea,mediterranean_sea,type_true,stadium,ground,cities,riverMouth,no
36,C,What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth?,cowombat_flat,cowombat_flat,murray_mouth,murray_mouth,type_true,source,source,riverMouth,riverMouth,yes
37,S,God Defend New Zealand is the national anthem of which country?,god_defend_new_zealand,god_defend_new_zealand,,,type_false,nationalAnthem,anthem,,,no
38,C,Name the largest city in the county where there is a Cy-Fair High School.,cy-fair_high_school,cy-fair_high_school,,,type_true,county,county,largestCity,largestCity,no
39,C,What are the academic interests of the past members of Senser?,senser,senser,,,type_false,pastMembers,bandMember,mainInterests,academicDiscipline,no
40,C,Name the common associate band of Blayse and Teddy Riley ?,blayse,blayse,teddy_riley,teddy_riley,type_true,associatedBand,bandMember,associatedBand,bandMember,no
41,C,What is the alma mater of the actors of The God Who Wasn't There ?,the_god_who_wasn't_there,,,,type_true,starring,starring,almaMater,almaMater,no
42,C,What is the leader name of the settlements whose governing body is Municipal council?,municipal_council,municipality,,,type_true,governingBody,governingBody,leaderName,leader,yes
43,C,Which predecessor of Alexander Downer was deputy to Neil Brown ?,alexander_downer,alexander_downer,neil_brown_(australian_politician),neil_brown_(australian_politician),type_true,predecessor,predecessor,deputy,predecessor,no
44,C,Who built the stadium which was rented by Costa Rica national football team?,costa_rica_national_football_team,costa_rica_national_football_team,,,type_true,tenants,tenant,builder,builder,yes
45,C,How many genres of games can I find on the commodore CDTV?,commodore_cdtv,commodore_cdtv,,,type_true,computingPlatform,computingPlatform,genre,genre,no
46,C,What is the craft of the Ralph Flanders which is also the profession of  Claiborne Pell ?,ralph_flanders,ralph_flanders,claiborne_pell,claiborne_pell,type_true,occupation,relation,profession,profession,no
47,S,Does the US route 281 have a junction at San Antonio?,u.s._route_281,u.s._route_281,san_antonio,san_antonio,type_true,junction,routeJunction,,,no
48,S,Give me a count of royalties buried in Rome ?,rome,rome,,,type_true,placeOfBurial,placeOfBurial,,,no
49,C,Which executive producer of the ultimate merger is also an important person at Trump Productions?,the_ultimate_merger,the_ultimate_merger,trump_productions,trump_productions,type_true,executiveProducer,executiveProducer,keyPerson,keyPerson,no
50,C,What are some relatives of armymen who died in Germany?,germany,germany,,,type_true,placeOfDeath,mountainRange,relation,relation,yes
51,S,Greater Napanee is the home town of what people?,greater_napanee,greater_napanee,,,type_true,hometown,hometown,,,no
52,S,In which state is the Channel district?,channel_district,channel_district,,,type_true,state,state,,,no
53,S,What is Jon Speelman famous for?,jon_speelman,jon_speelman,,,type_true,field,almaMater,,,no
54,C,What is the name of the artist which worked on the subsequent work of Ella Loves Cole ?,ella_loves_cole,ella_loves_cole,,,type_true,subsequentWork,subsequentWork,artist,subsequentWork,no
55,C,What are some companies which are founded in Dallas Jurisdiction?,dallas,dallas,,,type_true,governingBody,foundationPlace,foundationPlace,foundationPlace,yes
56,C,Name the movies distributed by RKO Pictures and has music composer as Bernard Herrmann?,rko_pictures,rko_pictures,bernard_herrmann,bernard_herrmann,type_true,distributor,distributor,musicComposer,musicComposer,yes
57,C,Who is the artist of Sings Kristofferson and also performed Milk Cow Blues atleast once?,sings_kristofferson,sings_kristofferson,milk_cow_blues,,type_true,artist,artist,artist,subsequentWork,no
58,C,What is the life stance of the ethnic groups related to Micronesia ?,micronesia,federated_states_of_micronesia,,,type_true,related,related,religion,religion,yes
59,S,What is the magazine which have been  founded by Ralph J. Gleason?,ralph_j._gleason,ralph_j._gleason,,,type_false,founder,founder,,,no
60,C,Count the number of sports team members  which have player named Matt Williams ?,matt_williams_(new_zealand_footballer),matt_williams_(new_zealand_footballer),,,type_true,name,currentMember,name,currentMember,no
61,C,Which sports are played in schools affiliated with the Harvest Christian Center?,harvest_christian_center,harvest_christian_center,,,type_true,religiousAffiliation,religion,sport,sport,yes
62,C,Name the river with source as Shannon Pot and its mouth is located in Limerick?,shannon_pot,shannon_pot,limerick,limerick,type_true,source,source,mouthLocation,mouthPlace,yes
63,C,List the people who were born in Gelnhausen and graduated from Pepperdine University?,gelnhausen,gelnhausen,pepperdine_university,pepperdine_university,type_true,birthPlace,birthPlace,education,education,yes
64,C,Count all the ethinic group who speaks language which belongs to Anglo-Frisian language family ?,anglo-frisian_languages,anglo-frisian_languages,,,type_true,languageFamily,languageFamily,languages,spokenIn,yes
65,S,Whos a famous relative of anne spielberg?,anne_spielberg,anne_spielberg,,,type_true,relation,relation,,,no
66,S,List the director of The Adventures of mimi ?,the_adventures_of_mimi_(video),arlington_county_virginia,,,type_true,director,director,,,no
67,S,Count the units garrisoned at Arlington County Virginia.,arlington_county_virginia,time_inc.,,,type_false,garrison,garrison,,,no
68,C,Who designed the bridge in Oddamavadi?,oddamavadi,oddamavadi,,,type_false,locatedInArea,crosses,designer,maintainedBy,yes
69,C,how many companies are located in a spanish speaking region?,spanish_language,spain,,,type_true,language,regionServed,location,mountainRange,yes
70,S,How many golf players are there in Arizona State Sun Devils ?,arizona_state_sun_devils,arizona_state_sun_devils,,,type_false,college,champion,,,no
71,C,Which tenant of New Sanno Hotel is the military branch of the Gary Holder-Winfield ?,new_sanno_hotel,new_sanno_hotel,gary_holder-winfield,gary_holder-winfield,type_true,tenant,tenant,militaryBranch,militaryBranch,no
72,S,List the newspapers whose offices are situated in 1211 Avenue of the Americas?,1211_avenue_of_the_americas,1211_avenue_of_the_americas,,,type_false,headquarter,locationCity,,,no
73,C,How many developers have games where I can hear Lightning McQueen?,lightning_mcqueen,lightning_mcqueen,,,type_true,voice,voice,developer,developer,no
74,S,List the ingredient of Blodpalt ?,blodpalt,blodpalt,,,type_true,ingredient,ingredient,,,no
75,C,What is the total number of other tenant of the stadia whose one of the tenant is Raptors 905?,raptors_905,raptors_905,,,type_true,tenant,tenant,tenant,tenant,no
76,S,List the battles fought by  Ali Habib Mahmud ?,ali_habib_mahmud,ali_habib_mahmud,,,type_true,battles,battle,,,no
77,C,Count the number teams which have  former ice hockey players which also included American Hockey League ?,american_hockey_league,american_hockey_league,,,type_true,formerTeam,formerTeam,formerTeam,formerTeam,no
78,C,What is the largest city of the country which hosted the 1951 Asian Games?,1951_asian_games,1951_asian_games,,,type_true,hostCity,city,largestCity,territory,yes
79,C,Members of how many political parties have died in Delhi?,delhi,delhi,,,type_true,placeOfDeath,honours,party,party,no
80,C,Where do current famous NatGeo photographers live?,national_geographic_(magazine),natgeo_channel,,,type_false,knownFor,knownFor,residence,residence,yes
81,S,Is Hyundai Lavita assembled in Malaysia?,hyundai_lavita,hyundai_lavita,malaysia,malaysia,type_true,assembly,designCompany,,,no
82,C,Name the common university of the Cardinal and Jim Wylie?,stanford_cardinal,st._louis_cardinals,jim_wylie,jim_wylie,type_true,university,university,university,university,no
83,C,From how many different institutes have the members of Judge Advocate General's Corps graduated?,judge_advocate_general's_corps_united_states_army,judge_advocate_general's_corps_united_states_army,,,type_true,militaryRank,militaryUnit,almaMater,basedOn,yes
84,S,Is Mike Babcock the head coach of Toronto Maple Leafs?,toronto_maple_leafs,toronto_maple_leafs,mike_babcock,mike_babcock,type_true,headCoach,generalManager,,,no
85,C,Where is the king buried whose predecessor was Iyasu II?,iyasu_ii,iyasu_ii,,,type_true,predecessor,predecessor,placeOfBurial,placeOfBurial,yes
86,S,What honours did Reigh Count receive?,reigh_count,reigh_count,,,type_true,honours,breeder,,,no
87,S,Does the St lawrence river start in Kingston Ontario?,saint_lawrence_river,lawrence_of_rome,kingston_ontario,kingston_ontario,type_true,sourceMountain,sourceMountain,,,no
88,S,Who is the fictional character whose relative is Vestigial Peter?,vestigial_peter,vestigial_peter,,,type_true,relative,previousWork,,,no
89,S,What is the company to which Fusajiro Yamauchi proprietor to ?,fusajiro_yamauchi,fusajiro_yamauchi,,,type_true,foundedBy,foundedBy,,,no
90,C,Who is the performer of the album whose subsequent work is Willie Nelson and Family ?,willie_nelson_and_family,willie_nelson_and_family,,,type_true,subsequentWork,subsequentWork,artist,artist,no
91,S,Name the debut team of Dan Otero ?,dan_otero,dan_otero,,,type_true,debutTeam,debutTeam,,,no
92,C,Which serving railway line of the Daund Junction railway station was also the place where 99 (2009 film) was recorded ?,daund_junction_railway_station,daund_junction_railway_station,99_(2009_film),99_(2009_film),type_true,servingRailwayLine,servingRailwayLine,recorded,recordedIn,no
93,C,Which parties have their members live in the PM House Colombo?,prime_minister's_house_(colombo),prime_minister's_house_(colombo),,,type_true,residence,residence,leader,party,yes
94,C,Name the movie written by Monty Python and distributed by Cinema International Corporation ?,cinema_international_corporation,cinema_international_corporation,monty_python,monty_python,type_true,distributor,distributor,writer,distributor,yes
95,S,Who is the owner of Saumarez ?,saumarez_(horse),saumarez_(horse),,,type_true,owner,owner,,,no
96,S,What automobile engine's successor is BMW M40,bmw_m40,bmw_m40,,,type_true,successor,successor,,,no
97,C,Which shareholder of Naval Air facility Adak is also the operator of New Sanno Hotel ?,new_sanno_hotel,new_sanno_hotel,naval_air_facility_adak,naval_air_facility_adak,type_true,operator,tenant,owner,owner,no
98,C,Which key person of Clinton Foundation is also the president of Jim Sasser ?,clinton_foundation,clinton_foundation,jim_sasser,jim_sasser,type_true,keyPeople,keyPerson,president,president,no
99,C,How many cities are around the sea into which the aegean sea flows?,aegean_sea,aegean_region,,,type_true,outflow,outflow,cities,city,yes
100,C,List the successor of successor of Hayden Stone & Co.,hayden_stone_&_co.,hayden,,,type_true,successor,successor,successor,successor,no
101,C,What is the branch of the politicians whose governor is Bill Clements?,bill_clements,bill_clements,,,type_true,governor,governor,branch,relation,yes
102,C,What is the series of the book which is a subsequent work of Blade Runner 2: The Edge of Human ?,blade_runner_2:_the_edge_of_human,blade_runner_2:_the_edge_of_human,,,type_true,subsequentWork,subsequentWork,series,series,yes
103,C,Give me all commanders which had an important role in both the Battle of Fort Stephenson and Battle of the Thames?,battle_of_fort_stephenson,battle_of_fort_stephenson,battle_of_the_thames,,type_true,commander,commander,commander,commander,no
104,S,What is the commander of Battle of Brownstown ?,battle_of_brownstown,battle_of_brownstown,,,type_true,commander,commander,,,no
105,C,How many religions are practiced by diplomats?,diplomacy,diplomacy,,,type_false,profession,profession,religion,religion,no
106,S,list some companies founded by Jim Harris.,jim_harris_(entrepreneur),jim_harris_(politician),,,type_true,foundedBy,foundedBy,,,no
107,C,Name the airlines which have a hub in airport in SF?,san_francisco,san_francisco,,,type_true,cityServed,majorShrine,hubs,hubAirport,yes
108,C,Who is the prime minister of Michael Jeffery who is also the minister of William Deane ?,michael_jeffery,michael_jeffery,william_deane,william_deane,type_true,primeminister,primeMinister,primeMinister,primeMinister,no
109,S,Who founded the Not on our Watch NGO?,not_on_our_watch_(organization),,,,type_true,foundedBy,foundedBy,,,no
110,C,What is the military conflict whose commanders are John McEwen and Phm Vn ng?,john_mcewen,john_mcewen,ph?m_v?n_??ng,ph?m_v?n_??ng,type_true,commander,commander,commander,commander,yes
111,C,In which countries have models hanged themselves?,suicide_by_hanging,,,,type_false,deathCause,deathCause,citizenship,country,yes
112,C,Which TV show is related to The Sarah Jane Adventures and theme music is composed by  Ron Grainer?,the_sarah_jane_adventures,the_sarah_jane_adventures,ron_grainer,ron_grainer,type_true,related,related,themeMusicComposer,openingTheme,yes
113,C,Who was in military unit which played the role of Air interdiction?,air_interdiction,air_interdiction,,,type_true,role,type,militaryUnit,aircraftHelicopterMultirole,no
114,S,Tirana is the largest city of which country?,tirana,tirana,,,type_true,largestCity,largestCity,,,no
115,C,Marika Gombitov makes songs in which languages?,marika_gombitov,marika_gombitov,,,type_false,artist,artist,language,genre,no
116,C,What is the area of the broadcast network which has the affiliation with 9TV?,9tv,9tv,,,type_true,affiliation,network,area,broadcastArea,yes
117,C,What is the mascot of the handball teams in the Turkish Handball Super League?,turkish_handball_super_league,turkish_handball_super_league,,,type_true,league,league,mascot,locationCity,yes
118,C,How many relatives are there of people fought in the Battle of the Bulge?,battle_of_the_bulge,,,,type_true,battles,battle,relation,relation,no
119,C,What band made The trial and One of these days song?,the_trial_(song),,one_of_these_days_(instrumental),,type_true,artist,album,musicalArtist,musicalArtist,no
120,C,In which cities can the beverage related to Barq's be found?,barq's,barq's,,,type_true,related,country,locationCity,country,no
121,S,How many fictional characters were humans?,human,,,,type_true,species,narrator,,,no
122,S,Where was James H. Fields buried ?,james_h._fields,james_h._fields,,,type_true,placeofburial,restingPlace,,,no
123,C,Who has been married to both Penny Lancaster and Alana Stewart?,penny_lancaster,penny_lancaster,alana_stewart,alana_stewart,type_true,spouse,spouse,spouse,spouse,no
124,C,Name a show hosted by Brian Dunkleman and judged by Harry Connick Jr.?,brian_dunkleman,brian_dunkleman,harry_connick_jr.,harry_connick_jr.,type_true,presenter,presenter,judges,subsequentWork,yes
125,S,Does Cascade Airways have a hub in Seattle?,cascade_airways,cascade_airways,seattle,seattle,type_true,hubAirport,hubAirport,,,no
126,C,Who did their highschool from a school whose mascot was a fighting tiger?,fighting_tiger,tiger,,,type_true,mascot,country,highschool,country,no
127,C,Where did the Vitis Vinifera grapes originate?,vitis_vinifera,vitis_vinifera,,,type_false,species,species,origin,ingredient,yes
128,S,Who is the leader of Hackweiser ?,hackweiser,hackweiser,,,type_true,leaderName,leaderFunction,,,no
129,C,Name the university located in Indiana and has affiliations with Kaplan Inc.?,indiana,indiana,kaplan_inc.,kaplan_inc.,type_true,campus,campus,affiliations,affiliation,yes
130,S,Which technological products were manufactured by Foxconn?,foxconn,foxconn,,,type_true,manufacturer,manufacturer,,,no
131,C,Name all the bands which have members of QDT in them.,qdt,,,,type_true,bandMember,bandMember,associatedBand,bandMember,no
132,C,Name the river whose source mountain is Baikal Mountains and mouth location is Arctic Ocean?,baikal_mountains,baikal_mountains,arctic_ocean,arctic_ocean,type_true,sourceMountain,sourcePlace,mouthLocation,riverMouth,yes
133,C,What is the total number of awards whose presenter's headquarters is Beverly Hills California?,beverly_hills_california,beverly_hills_california,,,type_true,headquarters,governmentType,presenter,award,yes
134,S,What cities are nearer to Fountain Lake Farm?,fountain_lake_farm,fountain_lake_farm,,,type_true,nearestCity,nearestCity,,,no
135,S,Was Cliff Burton in Metallica?,metallica,metallica,cliff_burton,cliff_burton,type_true,pastMembers,formerBandMember,,,no
136,C,Tell me the name of the Prime Time Entertainment Network's TV show whose Artist is Christopher Franke ?,christopher_franke,christopher_franke,prime_time_entertainment_network,,type_true,artist,artist,network,network,yes
137,C,Which TV show had a judge named Harry Connick Jr. and was presented by Ryan Seacrest?,harry_connick_jr.,harry_connick_jr.,ryan_seacrest,ryan_seacrest,type_true,judges,showJudge,presenter,presenter,yes
138,C,How many kinds of games can be played on the Amiga?,amiga,amiga,,,type_true,computingPlatform,computingPlatform,genre,genre,no
139,C,Which governer of Winston Bryant is the president of Joseph Stiglitz ?,winston_bryant,winston_bryant,joseph_stiglitz,joseph_stiglitz,type_true,governor,governor,president,president,no
140,C,Cable stayed bridges have been used to cross over how many things?,cable-stayed_bridge,cable_television,,,type_true,design,significantProject,crosses,crosses,no
141,C,What sports can be played in Kharghar's schools,kharghar,,,,type_true,city,region,sport,sport,yes
142,S,What are the current music bands of Chester Bennington?,chester_bennington,chester_bennington,,,type_true,currentMembers,musicComposer,,,no
143,S,On what subjects was Broca 's Brain written?,broca's_brain,broca's_brain,,,type_true,subject,previousWork,,,no
144,C,How many different people own the Timeform award winners?,timeform,timeform,,,type_true,awards,honours,owner,award,yes
145,S,List presidents of the school whose one of the president is Charles. Prince of Wales ?,charles_prince_of_wales,charles_i_of_england,,,type_false,president,president,,,yes
146,C,Which political party of Chandra Shekhar is also the political party of Datla Satyanarayana Raju ?,chandra_shekhar,chandra_shekhar,datla_satyanarayana_raju,datla_satyanarayana_raju,type_true,otherParty,party,party,party,no
147,S,What river originates in Kingston Ontario?,kingston_ontario,kingston_ontario,,,type_true,sourceLocation,sourceMountain,,,no
148,S,What is the television show whose executive producer is Douglas Netter?,douglas_netter,douglas_netter,,,type_false,executiveProducer,executiveProducer,,,no
149,C,Which successor of Philippine Ports Authority is the state of origin of Ruben J. Villote ?,philippine_ports_authority,philippine_ports_authority,ruben_j._villote,ruben_j._villote,type_true,successor,successor,stateOfOrigin,stateOfOrigin,no
150,C,What is the common battle fought by Stephen Urban and Ali Habib Mahmud ?,stephen_urban,stephen_urban,ali_habib_mahmud,ali_habib_mahmud,type_true,battle,battle,battles,battle,no
151,S,Where did Whitney Wistert debut?,whitey_wistert,whitey_wistert,,,type_true,debutteam,debutTeam,,,no
152,S,What novels are belong to the genre of Utopian and dystopian fiction?,utopian_and_dystopian_fiction,utopian_and_dystopian_fiction,,,type_false,literaryGenre,genre,,,no
153,S,What is the programme format of WWTR ?,wwtr,wwtr,,,type_true,programmeFormat,broadcastArea,,,no
154,C,What is the home ground of the clubs managed by Ciao Zanardi?,caio_zanardi,caio_zanardi,,,type_true,manager,manager,ground,ground,yes
155,S,Name the office of Richard Coke ?,richard_coke,richard_coke,,,type_true,office,governor,,,no
156,C,Which allegiance of the John Kotelawala is also the  sovereign state of the Sanath Weerakoon ?,john_kotelawala,john_kotelawala,sanath_weerakoon,sanath_weerakoon,type_true,allegiance,stateOfOrigin,country,country,no
157,C,Which political party of kumta had affiliation with Indian general election 2004 (Andhra Pradesh) ,kumta,kumta,indian_general_election_2004_(andhra_pradesh),indian_general_election_2004_(andhra_pradesh),type_true,governmentType,governmentType,affiliation,affiliation,no
158,C,Which composer of Motorpsycho Nitemare has also composed The time are A-Changing ?,motorpsycho_nitemare,motorpsycho_nitemare,the_times_they_are_a-changin'_(musical),,type_true,composer,composer,musicBy,musicBy,no
159,S,Who are the characters of Batman Live?,batman_live,batman_live,,,type_true,characters,country,,,no
160,C,Who is buried at the place governed by National Park Service?,national_park_service,national_park_service,,,type_true,governingBody,leader,restingplace,restingPlace,no
161,C,What show  has theme music composer as Ron Grainer and at the same time  related to Class (2016 TV series)?,ron_grainer,,class_(2016_tv_series),,type_true,themeMusicComposer,openingTheme,related,genre,yes
162,C,Which nearest city of Jurgens Site is the death place of Jimmie Heuga ?,jurgens_site,jurgens_site,jimmie_heuga,jimmie_heuga,type_true,nearestCity,nearestCity,deathPlace,deathPlace,no
163,C,On which river are there things belonging to zambezi river authority?,zambezi_river_authority,zambezi_river_authority,,,type_false,owner,headquarter,river,river,no
164,S,To which political party does Virendra Kataria belongs ?,virendra_kataria,virendra_kataria,,,type_true,party,party,,,no
165,S,Which are the countires where Pioneer Corporation has flourished?,pioneer_corporation,pioneer_corporation,,,type_true,country,locationCountry,,,no
166,C,What is the number of occupation of the people who died in tampa bay florida?,tampa_florida,tampa_florida,,,type_true,deathPlace,deathPlace,occupation,occupation,no
167,C,Whose theme music was composed by a band which collaborated with Phish?,phish,phish,,,type_true,associatedBand,musicalBand,themeMusicComposer,musicComposer,no
168,C,List the developers who has contributed to both GNOWSYS and GNU TeXmacs ?,gnowsys,gnowsys,gnu_texmacs,gnu_texmacs,type_true,developer,developer,developer,developer,no
169,S,Who all are known to play the Gibson Guitar Corporation?,gibson_guitar_corporation,gibson_guitar_corporation,,,type_true,notableInstruments,foundationPlace,,,no
170,C,How many fictional characters are there in a series in which Craig Robinson acted?,craig_robinson_(actor),craig_robinson_(actor),,,type_true,starring,starring,series,series,yes
171,S,What is the university whose campus is Mount Moosilauke?,mount_moosilauke,mount_moosilauke,,,type_true,campus,campus,,,no
172,C,What is the owning organisation of the Ford Kansas City Assembly Plant and also the builder of the Ford Y-block engine?,ford_kansas_city_assembly_plant,ford_kansas_city_assembly_plant,ford_y-block_engine,ford_y-block_engine,type_true,owningOrganisation,owningOrganisation,manufacturer,manufacturer,no
173,C,Which are the predecessors of the cars which are similar to the Oldsmobile 88?,oldsmobile_88,oldsmobile_88,,,type_true,related,relatedMeanOfTransportation,predecessor,relatedMeanOfTransportation,no
174,C,How many people are there whose children died in Indiana?,indiana,indiana,,,type_true,deathPlace,child,child,child,yes
175,S,What is the appliance which uses the cpu manufactured by Marvell Technology Group?,marvell_technology_group,marvell_technology_group,,,type_false,cpu,manufacturer,,,no
176,C,In which team was the person drafted who has studied at the Worcester college Oxford?,worcester_college_oxford,worcester_college,,,type_true,almaMater,almaMater,draftTeam,nationality,yes
177,S,How many people used to play in the youthclub of FC Barcelona?,fc_barcelona,fc_barcelona,,,type_false,youthclubs,homeArena,,,no
178,C,What are some movies whose distributors are led by Kevin Tsujihara?,kevin_tsujihara,kevin_tsujihara,,,type_true,keyPerson,keyPerson,distributor,distributor,yes
179,C,What is the major shrine of the monarchs whose successor is Dragimir of Travunia and Zachlumia?,dragimir_of_travunia_and_zachlumia,zachlumia,,,type_true,successor,successor,majorShrine,ground,yes
180,C,Name the people whose academic advisor has also mentored the thesis of Alexius Meinong?,alexius_meinong,alexius_meinong,,,type_true,doctoralStudents,doctoralStudent,academicAdvisor,academicAdvisor,yes
181,C,Which fields of the Paul Demiville is also the faith of Koay Teng Hai ?,paul_demiville,paul_demiville,koay_teng_hai,koay_teng_hai,type_true,fields,academicAdvisor,religion,religion,no
182,C,Which leader of United States House of Representatives was the appinter of ohn Drayton ?,united_states_house_of_representatives_elections_1788_and_1789,,john_drayton,john_bowlby,type_true,leader,secondLeader,appointer,predecessor,no
183,S,List all the doctoral student of the scientist who has advised john Bowlby ?,john_bowlby,,,,type_false,doctoralStudents,doctoralStudent,,,yes
184,S,Is Peter Piper Pizza in the pizza industry?,peter_piper_pizza,peter_piper_pizza,pizza,pizza,type_true,industry,industry,,,no
185,C,What is the religion of the person who founded the Emel magazine?,emel_(magazine),emel_(magazine),,,type_true,founder,founder,religion,religion,yes
186,S,What are some apes?,ape,ape,,,type_true,family,order,,,no
187,C,What is the alma mater of the scientist who is known for Rational analysis ?,rational_analysis,rational_analysis,,,type_true,knownFor,knownFor,almaMater,almaMater,yes
188,S,Where is the headquarters of Metro Transit ( Minnesota ) ?,metro_transit_(minnesota),metro_transit_(minnesota),,,type_true,headquarters,headquarter,,,no
189,S,Who are the current members of Insects vs Robots?,insects_vs_robots,insects_vs_robots,,,type_true,currentMembers,bandMember,,,no
190,S,What magazine companies are of form Limited liability company?,limited_liability_company,the_liability,,,type_false,company,owningCompany,,,no
191,C,Which owner of the national Herald india is the leader of Kumta ?,the_national_herald_(india),the_national_herald_(india),kumta,kumta,type_true,owner,owner,governmentType,mouthPlace,no
